64: HR=0.7252, NDCG=0.4483

python mf_simple.py --data Data/ml-1m --epochs 256 --embedding_dim 16 --regularization 0.005 --negatives 8 --learning_rate 0.002 --stddev 0.1
Dataset: #user=6040, #item=3706, #train_pairs=994169, #test_pairs=6040
Epoch    0:      HR=0.1045, NDCG=0.0467
Epoch    1:      HR=0.4546, NDCG=0.2546
Epoch    2:      HR=0.4535, NDCG=0.2530
Epoch    3:      HR=0.4533, NDCG=0.2537
Epoch    4:      HR=0.4548, NDCG=0.2546
Epoch    5:      HR=0.4548, NDCG=0.2542
Epoch    6:      HR=0.4536, NDCG=0.2532
Epoch    7:      HR=0.4540, NDCG=0.2538
Epoch    8:      HR=0.4536, NDCG=0.2527
Epoch    9:      HR=0.4555, NDCG=0.2541
Epoch   10:      HR=0.4536, NDCG=0.2544
Epoch   11:      HR=0.4548, NDCG=0.2542
Epoch   12:      HR=0.4525, NDCG=0.2539
Epoch   13:      HR=0.4560, NDCG=0.2549
Epoch   14:      HR=0.4563, NDCG=0.2558
Epoch   15:      HR=0.4586, NDCG=0.2565
Epoch   16:      HR=0.4616, NDCG=0.2591
Epoch   17:      HR=0.4639, NDCG=0.2608
Epoch   18:      HR=0.4697, NDCG=0.2632
Epoch   19:      HR=0.4747, NDCG=0.2664
Epoch   20:      HR=0.4806, NDCG=0.2694
Epoch   21:      HR=0.4856, NDCG=0.2733
Epoch   22:      HR=0.4919, NDCG=0.2761
Epoch   23:      HR=0.4977, NDCG=0.2796
Epoch   24:      HR=0.5008, NDCG=0.2825
Epoch   25:      HR=0.5068, NDCG=0.2853
Epoch   26:      HR=0.5118, NDCG=0.2894
Epoch   27:      HR=0.5175, NDCG=0.2924
Epoch   28:      HR=0.5220, NDCG=0.2951
Epoch   29:      HR=0.5295, NDCG=0.2984
Epoch   30:      HR=0.5363, NDCG=0.3022
Epoch   31:      HR=0.5411, NDCG=0.3053
Epoch   32:      HR=0.5475, NDCG=0.3080
Epoch   33:      HR=0.5530, NDCG=0.3108
Epoch   34:      HR=0.5584, NDCG=0.3145
Epoch   35:      HR=0.5609, NDCG=0.3160
Epoch   36:      HR=0.5652, NDCG=0.3198
Epoch   37:      HR=0.5694, NDCG=0.3217
Epoch   38:      HR=0.5717, NDCG=0.3240
Epoch   39:      HR=0.5758, NDCG=0.3271
Epoch   40:      HR=0.5800, NDCG=0.3300
Epoch   41:      HR=0.5873, NDCG=0.3333
Epoch   42:      HR=0.5901, NDCG=0.3360
Epoch   43:      HR=0.5922, NDCG=0.3377
Epoch   44:      HR=0.5962, NDCG=0.3399
Epoch   45:      HR=0.6003, NDCG=0.3428
Epoch   46:      HR=0.6017, NDCG=0.3450
Epoch   47:      HR=0.6048, NDCG=0.3469
Epoch   48:      HR=0.6065, NDCG=0.3492
Epoch   49:      HR=0.6094, NDCG=0.3494
Epoch   50:      HR=0.6118, NDCG=0.3524
Epoch   51:      HR=0.6151, NDCG=0.3544
Epoch   52:      HR=0.6169, NDCG=0.3556
Epoch   53:      HR=0.6182, NDCG=0.3560
Epoch   54:      HR=0.6189, NDCG=0.3579
Epoch   55:      HR=0.6235, NDCG=0.3607
Epoch   56:      HR=0.6240, NDCG=0.3615
Epoch   57:      HR=0.6257, NDCG=0.3625
Epoch   58:      HR=0.6276, NDCG=0.3637
Epoch   59:      HR=0.6281, NDCG=0.3653
Epoch   60:      HR=0.6313, NDCG=0.3680
Epoch   61:      HR=0.6326, NDCG=0.3684
Epoch   62:      HR=0.6356, NDCG=0.3707
Epoch   63:      HR=0.6371, NDCG=0.3713
Epoch   64:      HR=0.6392, NDCG=0.3731
Epoch   65:      HR=0.6396, NDCG=0.3737
Epoch   66:      HR=0.6397, NDCG=0.3741
Epoch   67:      HR=0.6429, NDCG=0.3751
Epoch   68:      HR=0.6434, NDCG=0.3762
Epoch   69:      HR=0.6478, NDCG=0.3784
Epoch   70:      HR=0.6488, NDCG=0.3785
Epoch   71:      HR=0.6502, NDCG=0.3809
Epoch   72:      HR=0.6502, NDCG=0.3815
Epoch   73:      HR=0.6518, NDCG=0.3811
Epoch   74:      HR=0.6513, NDCG=0.3821
Epoch   75:      HR=0.6518, NDCG=0.3830
Epoch   76:      HR=0.6535, NDCG=0.3840
Epoch   77:      HR=0.6545, NDCG=0.3851
Epoch   78:      HR=0.6563, NDCG=0.3858
Epoch   79:      HR=0.6556, NDCG=0.3863
Epoch   80:      HR=0.6579, NDCG=0.3869
Epoch   81:      HR=0.6570, NDCG=0.3876
Epoch   82:      HR=0.6576, NDCG=0.3880
Epoch   83:      HR=0.6586, NDCG=0.3890
Epoch   84:      HR=0.6601, NDCG=0.3898
Epoch   85:      HR=0.6589, NDCG=0.3897
Epoch   86:      HR=0.6624, NDCG=0.3899
Epoch   87:      HR=0.6611, NDCG=0.3911
Epoch   88:      HR=0.6634, NDCG=0.3914
Epoch   89:      HR=0.6644, NDCG=0.3919
Epoch   90:      HR=0.6649, NDCG=0.3935
Epoch   91:      HR=0.6656, NDCG=0.3937
Epoch   92:      HR=0.6657, NDCG=0.3944
Epoch   93:      HR=0.6674, NDCG=0.3945
Epoch   94:      HR=0.6667, NDCG=0.3953
Epoch   95:      HR=0.6662, NDCG=0.3954
Epoch   96:      HR=0.6669, NDCG=0.3958
Epoch   97:      HR=0.6677, NDCG=0.3967
Epoch   98:      HR=0.6661, NDCG=0.3974
Epoch   99:      HR=0.6697, NDCG=0.3982
Epoch  100:      HR=0.6700, NDCG=0.3995
Epoch  101:      HR=0.6705, NDCG=0.3999
